#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance edge major)	
755	0.98258	755	0.909386862989783	755	0.42458331574975	755	0.861604832017575	755	0.320835129248709	
760	0.98266	760	0.911280061029192	760	0.393323008398839	760	0.864435603431055	760	0.315018099511479	
765	0.98274	765	0.915199567693489	765	0.361485105068126	765	0.869091415202823	765	0.32189887217839	
770	0.98282	770	0.917509808425888	770	0.330819988381454	770	0.877664171045145	770	0.338566322013913	
775	0.9829	775	0.919791033278953	775	0.305317373418005	775	0.88657096236891	775	0.36655160938896	
780	0.98298	780	0.926419159453342	780	0.283867398789776	780	0.895875740063003	780	0.404214274439025	
785	0.98306	785	0.928993915391924	785	0.266737688637858	785	0.904314048528233	785	0.445755643870441	
790	0.98314	790	0.933868323100123	790	0.256664080956481	790	0.910232237477553	790	0.492937533282267	
795	0.98322	795	0.936803177036191	795	0.250263532777854	795	0.912532077575973	795	0.535622921297504	
800	0.9833	800	0.938169324470104	800	0.250083489354762	800	0.914918955952409	800	0.572371847860139	
805	0.9832	805	0.941553688343628	805	0.255481040076817	805	0.915114142936252	805	0.601352537544162	
810	0.9831	810	0.941532132774831	810	0.268224018720385	810	0.91313489203301	810	0.611139613683869	
815	0.983	815	0.942710321675311	815	0.289048387430511	815	0.911808704888507	815	0.608104432958397	
820	0.9829	820	0.940759583187203	820	0.318530462780511	820	0.910833564968349	820	0.588029854831246	
825	0.9828	825	0.94103799599849	825	0.356096750449023	825	0.911025503099935	825	0.557185367316765	
830	0.9827	830	0.939197816557836	830	0.398644800084628	830	0.910636581722151	830	0.513487031324659	
835	0.9826	835	0.936381672214381	835	0.439605985129279	835	0.91187583147496	835	0.465501864752851	
840	0.9825	840	0.936337024655461	840	0.475630690450583	840	0.913392125527383	840	0.41778818231361	
845	0.9824	845	0.932834225953907	845	0.497519985430829	845	0.913507355540398	845	0.369480347025974	
850	0.9823	850	0.932863669846108	850	0.505986568502788	850	0.916681688584741	850	0.328750535381085	
855	0.98232	855	0.932098555701215	855	0.495708406103609	855	0.918020324802368	855	0.293340462328939	
860	0.98234	860	0.932608826309632	860	0.472971358674033	860	0.920775388421122	860	0.263870791641061	
865	0.98236	865	0.935154107425007	865	0.443617833272696	865	0.922748863546668	865	0.242257608583078	
870	0.98238	870	0.935246905048899	870	0.408788857829005	870	0.922194249506402	870	0.225528939587822	
875	0.9824	875	0.937017001432037	875	0.375898088064472	875	0.923993357552338	875	0.216845778716323	
880	0.98242	880	0.936099599606264	880	0.342623587169869	880	0.920175785244415	880	0.211978494699002	
885	0.98244	885	0.936448524231155	885	0.315139921469893	885	0.92310468088601	885	0.214357461649089	
890	0.98246	890	0.938273477353942	890	0.288515103155904	890	0.92287247178006	890	0.222758860145094	
895	0.98248	895	0.937175357660846	895	0.265536946629993	895	0.922052533889896	895	0.234461844996023	
900	0.9825	900	0.938538657155066	900	0.248956057869554	900	0.923026606629137	900	0.25601229053527	
905	0.98257	905	0.937293893972448	905	0.230946197300183	905	0.920107037010455	905	0.280542418223046	
910	0.98264	910	0.936666507464096	910	0.219338282806362	910	0.918835819578902	910	0.314567855593867	
915	0.98271	915	0.937326803538523	915	0.210479328090126	915	0.918808729263812	915	0.355722496980661	
920	0.98278	920	0.935644053910234	920	0.203170995643346	920	0.917399847095352	920	0.39686042751639	
925	0.98285	925	0.936911824916774	925	0.200674575152658	925	0.915398681186832	925	0.443846824867801	
930	0.98292	930	0.935194238737218	930	0.200140568603733	930	0.913419798852915	930	0.487910603510863	
935	0.98299	935	0.935043261983382	935	0.203607545634075	935	0.911118115832973	935	0.52996266333879	
940	0.98306	940	0.935314019324729	940	0.212105958886776	940	0.908073190715571	940	0.566613931198042	
945	0.98313	945	0.933680525846474	945	0.225831684600941	945	0.906182305430285	945	0.593645211818051	
950	0.9832	950	0.936093316911726	950	0.244390215115669	950	0.905323036062244	950	0.606038984278091	
955	0.98316	955	0.93405837385082	955	0.266125437213814	955	0.90101903075803	955	0.602443669361074	
960	0.98312	960	0.936001121438325	960	0.293787607116545	960	0.89926537329996	960	0.587766704211133	
965	0.98308	965	0.93326267514036	965	0.326769973391037	965	0.898801632022718	965	0.560634907083952	
970	0.98304	970	0.933642134099155	970	0.365397546821597	970	0.899013394107022	970	0.527647370659509	
975	0.983	975	0.931795117202866	975	0.400367763587953	975	0.897595241731962	975	0.485605747157644	
980	0.98296	980	0.932254465928777	980	0.437487352433269	980	0.901783716624418	980	0.44420334827116	
985	0.98292	985	0.929109322856183	985	0.46752789351605	985	0.901547039830531	985	0.398442053957593	
990	0.98288	990	0.926545117860586	990	0.485710048643142	990	0.902025965516387	990	0.354914162443838	
995	0.98284	995	0.927984495368112	995	0.496157522547814	995	0.90579557266071	995	0.316785075277851	
1000	0.9828	1000	0.925926812245025	1000	0.493602686804274	1000	0.906496069244351	1000	0.280300873963605	
1005	0.98269	1005	0.927806504334141	1005	0.480626099002055	1005	0.910036678744992	1005	0.250273403727971	
1010	0.98258	1010	0.929085052915954	1010	0.4590917316895	1010	0.911190778270257	1010	0.222623236313192	
1015	0.98247	1015	0.926529011405343	1015	0.433483156159898	1015	0.912389521880213	1015	0.202316056612665	
1020	0.98236	1020	0.928606336318946	1020	0.405733342873548	1020	0.913638291085554	1020	0.184675525375035	
1025	0.98225	1025	0.928843502848283	1025	0.376195507023353	1025	0.912987209039636	1025	0.169532925225305	
1030	0.98214	1030	0.92945131977189	1030	0.351265144189709	1030	0.917302662530597	1030	0.159906221665196	
1035	0.98203	1035	0.930161863181493	1035	0.324137419662092	1035	0.915784774630283	1035	0.150639701585913	
1040	0.98192	1040	0.930218981939762	1040	0.30155272979911	1040	0.917064012240388	1040	0.145725555422322	
1045	0.98181	1045	0.932269849326806	1045	0.281175354474036	1045	0.917209010072601	1045	0.141212991736232	
