#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance edge major)	
760	0.602333512231806	760	0.414809032824225	760	0.332455824431558	760	0.455452898952072	760	0.406582908292646	
765	0.606345592300991	765	0.422212601185003	765	0.340267277419718	765	0.464051362198118	765	0.419405314389381	
770	0.610358317593627	770	0.432324088489792	770	0.352509017230595	770	0.474203621944999	770	0.432232340934902	
775	0.614371688109714	775	0.441074324294261	775	0.36635811347674	775	0.483545845617589	775	0.443176864762286	
780	0.618385703849251	780	0.452510872002132	780	0.38233376506611	780	0.493725325921263	780	0.453321759655137	
785	0.622400364812239	785	0.462774161264833	785	0.399778656510915	785	0.504431272155168	785	0.462243297857356	
790	0.626415670998678	790	0.471786222786907	790	0.415760212392183	790	0.51229762498777	790	0.467312827646933	
795	0.630431622408567	795	0.479829958253765	795	0.429665614674912	795	0.520424581666383	795	0.470932998573659	
800	0.634448219041907	800	0.48702991923612	800	0.443263220764465	800	0.527099087053643	800	0.473935507456467	
805	0.638348594801195	805	0.49157158115293	805	0.45257138496376	805	0.531281443749903	805	0.472410529378483	
