487+0i,4.40229+0i,0.48131+0i,19.148497928-4.2377323998i
488+0i,4.39459+0i,0.47683+0i,19.0850544192-4.1909446994i
489+0i,4.38689+0i,0.47235+0i,19.0216893496-4.144294983i
490+0i,4.37919+0i,0.46788+0i,18.9583933617-4.0978708344i
491+0i,4.37149+0i,0.4634+0i,18.8951852601-4.051496932i
492+0i,4.3638+0i,0.45892+0i,18.8321428736-4.005270192i
493+0i,4.3561+0i,0.45444+0i,18.7690914964-3.959172168i
494+0i,4.3484+0i,0.44996+0i,18.7061185584-3.913212128i
495+0i,4.3407+0i,0.44548+0i,18.6432240596-3.867390072i
496+0i,4.333+0i,0.441+0i,18.580408-3.821706i
497+0i,4.32634+0i,0.43725+0i,18.5260302331-3.78338433i
498+0i,4.31969+0i,0.4335+0i,18.4717994461-3.74517123i
499+0i,4.31303+0i,0.42976+0i,18.4175341233-3.7071355456i
500+0i,4.30638+0i,0.42601+0i,18.3634241843-3.6691218876i
501+0i,4.29972+0i,0.42226+0i,18.3092885708-3.6311995344i
502+0i,4.29306+0i,0.41851+0i,18.2552135435-3.5933770812i
503+0i,4.28641+0i,0.41477+0i,18.2012765352-3.5557485514i
504+0i,4.27975+0i,0.41102+0i,18.1473226221-3.51812569i
505+0i,4.2731+0i,0.40727+0i,18.0935147571-3.480610874i
506+0i,4.26644+0i,0.40352+0i,18.0396818832-3.4431877376i
507+0i,4.26058+0i,0.40039+0i,17.9922297843-3.4117872524i
508+0i,4.25483+0i,0.39735+0i,17.9456913064-3.381313401i
509+0i,4.24908+0i,0.39431+0i,17.8992004703-3.3509094696i
510+0i,4.24333+0i,0.39127+0i,17.852757276-3.3205754582i
511+0i,4.23758+0i,0.38823+0i,17.8063617235-3.2903113668i
512+0i,4.23183+0i,0.38519+0i,17.7600138128-3.2601171954i
513+0i,4.22608+0i,0.38215+0i,17.7137135439-3.229992944i
514+0i,4.22033+0i,0.37911+0i,17.6674609168-3.1999386126i
515+0i,4.21458+0i,0.37607+0i,17.6212559315-3.1699542012i
516+0i,4.20883+0i,0.37303+0i,17.575098588-3.1400397098i
517+0i,4.20333+0i,0.37018+0i,17.5309498565-3.1119773988i
518+0i,4.19832+0i,0.36771+0i,17.4906801783-3.0875284944i
519+0i,4.19331+0i,0.36524+0i,17.4504484985-3.0631290888i
520+0i,4.1883+0i,0.36277+0i,17.4102548171-3.038779182i
521+0i,4.18329+0i,0.36031+0i,17.370091928-3.0145624398i
522+0i,4.17829+0i,0.35784+0i,17.3300578585-2.9903185872i
523+0i,4.17328+0i,0.35537+0i,17.2899781215-2.9661170272i
524+0i,4.16827+0i,0.3529+0i,17.2499363829-2.941964966i
525+0i,4.16326+0i,0.35044+0i,17.209925634-2.9179456688i
526+0i,4.15825+0i,0.34797+0i,17.1699599416-2.893892505i
527+0i,4.15324+0i,0.3455+0i,17.1300322476-2.86988884i
528+0i,4.14845+0i,0.34317+0i,17.0918717536-2.847247173i
529+0i,4.1441+0i,0.34109+0i,17.0572224219-2.827022138i
530+0i,4.13975+0i,0.339+0i,17.0226090625-2.8067505i
531+0i,4.13539+0i,0.33692+0i,16.9879353657-2.7865911976i
532+0i,4.13104+0i,0.33484+0i,16.953373656-2.7664748672i
533+0i,4.12669+0i,0.33276+0i,16.9188411385-2.7463947288i
534+0i,4.12233+0i,0.33068+0i,16.8842553665-2.7263441688i
535+0i,4.11798+0i,0.3286+0i,16.8497813204-2.706336456i
536+0i,4.11363+0i,0.32652+0i,16.8153364665-2.6863649352i
537+0i,4.10927+0i,0.32443+0i,16.780845108-2.6663409322i
538+0i,4.10492+0i,0.32235+0i,16.7464586839-2.646441924i
539+0i,4.10057+0i,0.32027+0i,16.712101452-2.6265791078i
540+0i,4.0967+0i,0.31834+0i,16.6816105344-2.608286956i
541+0i,4.0929+0i,0.31642+0i,16.6517087936-2.590150836i
542+0i,4.0891+0i,0.31451+0i,16.6218222699-2.572125682i
543+0i,4.0853+0i,0.31259+0i,16.5919635819-2.554047854i
544+0i,4.08151+0i,0.31068+0i,16.5622018177-2.5360870536i
545+0i,4.07771+0i,0.30876+0i,16.5323861065-2.5180674792i
546+0i,4.07391+0i,0.30685+0i,16.5025857656-2.500158567i
547+0i,4.07011+0i,0.30493+0i,16.4728131072-2.4821972846i
548+0i,4.06632+0i,0.30302+0i,16.443137222-2.4643525728i
549+0i,4.06252+0i,0.3011+0i,16.4134075404-2.446449544i
550+0i,4.05872+0i,0.29919+0i,16.3836933823-2.4286568736i
551+0i,4.05492+0i,0.29728+0i,16.354000808-2.4108932352i
552+0i,4.05155+0i,0.29557+0i,16.3276957776-2.395033267i
553+0i,4.04824+0i,0.29389+0i,16.3018757655-2.3794745072i
554+0i,4.04493+0i,0.2922+0i,16.2760778649-2.363857092i
555+0i,4.04161+0i,0.29052+0i,16.2502095217-2.3483370744i
556+0i,4.0383+0i,0.28884+0i,16.2244383444-2.332845144i
557+0i,4.03499+0i,0.28716+0i,16.1986834345-2.3173754568i
558+0i,4.03167+0i,0.28548+0i,16.1728641585-2.3019223032i
559+0i,4.02836+0i,0.2838+0i,16.1471418496-2.286497136i
560+0i,4.02505+0i,0.28212+0i,16.1214358081-2.271094212i
561+0i,4.02174+0i,0.28043+0i,16.0957516427-2.2556330964i
562+0i,4.01842+0i,0.27875+0i,16.0699977339-2.24026915i
563+0i,4.01511+0i,0.27707+0i,16.0443405272-2.2249330554i
564+0i,4.01194+0i,0.27547+0i,16.0197788427-2.2103382236i
565+0i,4.00904+0i,0.27403+0i,15.9973092807-2.1971944624i
566+0i,4.00614+0i,0.27259+0i,15.9748523915-2.1840674052i
567+0i,4.00323+0i,0.27114+0i,15.9523335333-2.1708715644i
568+0i,4.00033+0i,0.2697+0i,15.9299020189-2.157778002i
569+0i,3.99742+0i,0.26825+0i,15.9074085939-2.14461583i
570+0i,3.99452+0i,0.26681+0i,15.8850024543-2.1315557624i
571+0i,3.99162+0i,0.26536+0i,15.8626142948-2.1184325664i
